<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GheymatVazniAr,d,20220314,000000,329130,329409,328064,328064,3542822122
GheymatVazniAr,d,20220315,000000,327996,328834,327977,328643,4977338386
GheymatVazniAr,d,20220316,000000,329141,330562,329141,330552,4193545795
GheymatVazniAr,d,20220319,000000,331237,336015,331237,335901,5431448173
GheymatVazniAr,d,20220326,000000,337607,341701,337607,341701,8730758327
GheymatVazniAr,d,20220327,000000,341910,344829,341910,344818,7641121937
GheymatVazniAr,d,20220328,000000,345027,348511,345027,348511,9948585755
GheymatVazniAr,d,20220329,000000,349566,349566,347425,347430,12356920070
GheymatVazniAr,d,20220330,000000,347248,351832,346864,351816,7400595096
GheymatVazniAr,d,20220403,000000,352442,359161,352442,359161,9496208580
GheymatVazniAr,d,20220404,000000,360853,362821,360836,360836,13936566360
GheymatVazniAr,d,20220405,000000,360598,361483,359947,361479,9625595097
GheymatVazniAr,d,20220406,000000,361824,361993,359588,359597,11165648542
GheymatVazniAr,d,20220409,000000,358805,358805,356646,358367,8423628503
GheymatVazniAr,d,20220410,000000,359090,362169,359090,362132,11270947735
GheymatVazniAr,d,20220411,000000,362471,363552,362425,363454,10070895772
GheymatVazniAr,d,20220412,000000,362105,362105,355219,355233,9289109331
GheymatVazniAr,d,20220413,000000,354532,357223,354532,357223,8473207502
GheymatVazniAr,d,20220416,000000,358128,360549,358128,360458,7494777471
GheymatVazniAr,d,20220417,000000,360569,362279,359955,362211,8645157801
GheymatVazniAr,d,20220418,000000,363126,369190,363126,368788,10668524285
GheymatVazniAr,d,20220419,000000,368565,371544,368310,371544,8464317028
GheymatVazniAr,d,20220420,000000,372040,372191,371068,371327,8789105650
GheymatVazniAr,d,20220424,000000,371610,371610,369261,369261,7048267553
GheymatVazniAr,d,20220425,000000,369254,369898,368663,369883,7873163303
GheymatVazniAr,d,20220426,000000,370272,373730,370272,373712,10785975002
GheymatVazniAr,d,20220427,000000,374099,374599,373350,373358,10177773907
