<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
price_usd_nerkhapi,d,20221214,000000,382900,382900,382900,382900
price_usd_nerkhapi,d,20221215,000000,385000,385000,385000,385000
price_usd_nerkhapi,d,20221216,000000,385000,385000,385000,385000
price_usd_nerkhapi,d,20221217,000000,395600,395600,395600,395600
price_usd_nerkhapi,d,20221218,000000,393800,393800,393800,393800
price_usd_nerkhapi,d,20221219,000000,396700,396700,396700,396700
price_usd_nerkhapi,d,20221220,000000,391600,391600,391600,391600
price_usd_nerkhapi,d,20221221,000000,396000,396000,396000,396000
price_usd_nerkhapi,d,20221222,000000,400400,400400,400400,400400
price_usd_nerkhapi,d,20221223,000000,401200,401200,401200,401200
price_usd_nerkhapi,d,20221224,000000,405800,405800,405800,405800
price_usd_nerkhapi,d,20221225,000000,410000,410000,410000,410000
price_usd_nerkhapi,d,20221226,000000,415200,415200,415200,415200
price_usd_nerkhapi,d,20221227,000000,422000,422000,422000,422000
price_usd_nerkhapi,d,20221228,000000,440000,440000,440000,440000
price_usd_nerkhapi,d,20221229,000000,431200,431200,431200,431200
price_usd_nerkhapi,d,20221230,000000,420000,420000,420000,420000
price_usd_nerkhapi,d,20221231,000000,397600,397600,397600,397600
price_usd_nerkhapi,d,20230101,000000,410000,410000,410000,410000
price_usd_nerkhapi,d,20230102,000000,399500,399500,399500,399500
price_usd_nerkhapi,d,20230103,000000,403900,403900,403900,403900
price_usd_nerkhapi,d,20230104,000000,398000,398000,398000,398000
price_usd_nerkhapi,d,20230105,000000,400200,400200,400200,400200
price_usd_nerkhapi,d,20230106,000000,400200,400200,400200,400200
price_usd_nerkhapi,d,20230107,000000,414000,414000,414000,414000
price_usd_nerkhapi,d,20230108,000000,410000,410000,410000,410000
price_usd_nerkhapi,d,20230109,000000,405100,405100,405100,405100
price_usd_nerkhapi,d,20230110,000000,408200,408200,408200,408200
price_usd_nerkhapi,d,20230111,000000,411000,411000,411000,411000
price_usd_nerkhapi,d,20230112,000000,412200,412200,412200,412200
price_usd_nerkhapi,d,20230113,000000,412200,412200,412200,412200
price_usd_nerkhapi,d,20230114,000000,409000,409000,409000,409000
price_usd_nerkhapi,d,20230115,000000,410100,410100,410100,410100
price_usd_nerkhapi,d,20230116,000000,411000,411000,411000,411000
price_usd_nerkhapi,d,20230117,000000,417600,417600,417600,417600
price_usd_nerkhapi,d,20230118,000000,430000,430000,430000,430000
price_usd_nerkhapi,d,20230119,000000,430000,430000,430000,430000
price_usd_nerkhapi,d,20230120,000000,430000,430000,430000,430000
price_usd_nerkhapi,d,20230121,000000,449000,449000,449000,449000
price_usd_nerkhapi,d,20230122,000000,450000,450000,450000,450000
price_usd_nerkhapi,d,20230123,000000,447500,447500,447500,447500
price_usd_nerkhapi,d,20230124,000000,435500,435500,435500,435500
price_usd_nerkhapi,d,20230125,000000,440200,440200,440200,440200
price_usd_nerkhapi,d,20230126,000000,445600,445600,445600,445600
price_usd_nerkhapi,d,20230127,000000,445600,445600,445600,445600
price_usd_nerkhapi,d,20230128,000000,438000,438000,438000,438000
price_usd_nerkhapi,d,20230129,000000,447000,447000,447000,447000
price_usd_nerkhapi,d,20230130,000000,443300,443300,443300,443300
price_usd_nerkhapi,d,20230131,000000,446600,446600,446600,446600
price_usd_nerkhapi,d,20230201,000000,447200,447200,447200,447200
price_usd_nerkhapi,d,20230202,000000,450000,450000,450000,450000
price_usd_nerkhapi,d,20230203,000000,450000,450000,450000,450000
price_usd_nerkhapi,d,20230204,000000,449300,449300,449300,449300
price_usd_nerkhapi,d,20230205,000000,447900,447900,447900,447900
price_usd_nerkhapi,d,20230206,000000,448000,448000,448000,448000
price_usd_nerkhapi,d,20230207,000000,442400,442400,442400,442400
price_usd_nerkhapi,d,20230208,000000,445900,445900,445900,445900
price_usd_nerkhapi,d,20230209,000000,450400,450400,450400,450400
price_usd_nerkhapi,d,20230210,000000,450400,450400,450400,450400
price_usd_nerkhapi,d,20230211,000000,450400,450400,450400,450400
price_usd_nerkhapi,d,20230212,000000,460000,460000,460000,460000
price_usd_nerkhapi,d,20230213,000000,456800,456800,456800,456800
price_usd_nerkhapi,d,20230214,000000,461500,461500,461500,461500
price_usd_nerkhapi,d,20230215,000000,472000,472000,472000,472000
price_usd_nerkhapi,d,20230216,000000,476500,476500,476500,476500
price_usd_nerkhapi,d,20230217,000000,476500,476500,476500,476500
price_usd_nerkhapi,d,20230218,000000,476700,476700,476700,476700
price_usd_nerkhapi,d,20230219,000000,490000,490000,490000,490000
price_usd_nerkhapi,d,20230220,000000,499000,499000,499000,499000
price_usd_nerkhapi,d,20230221,000000,497800,497800,497800,497800
price_usd_nerkhapi,d,20230222,000000,510500,510500,510500,510500
price_usd_nerkhapi,d,20230223,000000,526500,526500,526500,526500
price_usd_nerkhapi,d,20230224,000000,526500,526500,526500,526500
price_usd_nerkhapi,d,20230225,000000,567000,567000,567000,567000
price_usd_nerkhapi,d,20230226,000000,580000,580000,580000,580000
price_usd_nerkhapi,d,20230227,000000,584000,584000,584000,584000
price_usd_nerkhapi,d,20230228,000000,559000,559000,559000,559000
price_usd_nerkhapi,d,20230301,000000,537000,537000,537000,537000
price_usd_nerkhapi,d,20230302,000000,540000,540000,540000,540000
price_usd_nerkhapi,d,20230303,000000,541500,541500,541500,541500
price_usd_nerkhapi,d,20230304,000000,543000,543000,543000,543000
price_usd_nerkhapi,d,20230305,000000,513000,513000,513000,513000
price_usd_nerkhapi,d,20230306,000000,489000,489000,489000,489000
price_usd_nerkhapi,d,20230307,000000,510500,510500,510500,510500
price_usd_nerkhapi,d,20230308,000000,510500,510500,510500,510500
price_usd_nerkhapi,d,20230309,000000,497500,497500,497500,497500
price_usd_nerkhapi,d,20230310,000000,477000,477000,477000,477000
price_usd_nerkhapi,d,20230311,000000,439000,439000,439000,439000
price_usd_nerkhapi,d,20230312,000000,438000,438000,438000,438000
price_usd_nerkhapi,d,20230313,000000,456000,456000,456000,456000
price_usd_nerkhapi,d,20230314,000000,469500,469500,469500,469500
price_usd_nerkhapi,d,20230315,000000,466500,466500,466500,466500
price_usd_nerkhapi,d,20230316,000000,464500,464500,464500,464500
price_usd_nerkhapi,d,20230317,000000,465500,465500,465500,465500
price_usd_nerkhapi,d,20230318,000000,469500,469500,469500,469500
price_usd_nerkhapi,d,20230319,000000,483000,483000,483000,483000
price_usd_nerkhapi,d,20230320,000000,483000,483000,483000,483000
price_usd_nerkhapi,d,20230321,000000,494000,494000,494000,494000
price_usd_nerkhapi,d,20230322,000000,494000,494000,494000,494000
price_usd_nerkhapi,d,20230323,000000,494000,494000,494000,494000
price_usd_nerkhapi,d,20230324,000000,494000,494000,494000,494000
price_usd_nerkhapi,d,20230325,000000,507000,507000,507000,507000
price_usd_nerkhapi,d,20230326,000000,509000,509000,509000,509000
price_usd_nerkhapi,d,20230327,000000,511000,511000,511000,511000
price_usd_nerkhapi,d,20230328,000000,524500,524500,524500,524500
price_usd_nerkhapi,d,20230329,000000,538000,538000,538000,538000
price_usd_nerkhapi,d,20230330,000000,550000,550000,550000,550000
price_usd_nerkhapi,d,20230331,000000,550000,550000,550000,550000
price_usd_nerkhapi,d,20230401,000000,540000,540000,540000,540000
price_usd_nerkhapi,d,20230402,000000,534000,534000,534000,534000
price_usd_nerkhapi,d,20230403,000000,513000,513000,513000,513000
price_usd_nerkhapi,d,20230404,000000,511500,511500,511500,511500
price_usd_nerkhapi,d,20230405,000000,503500,503500,503500,503500
price_usd_nerkhapi,d,20230406,000000,508000,508000,508000,508000
price_usd_nerkhapi,d,20230407,000000,508000,508000,508000,508000
price_usd_nerkhapi,d,20230408,000000,510000,510000,510000,510000
price_usd_nerkhapi,d,20230409,000000,503000,503000,503000,503000
price_usd_nerkhapi,d,20230410,000000,504000,504000,504000,504000
price_usd_nerkhapi,d,20230411,000000,509000,509000,509000,509000
price_usd_nerkhapi,d,20230412,000000,510500,510500,510500,510500
price_usd_nerkhapi,d,20230413,000000,508000,508000,508000,508000
price_usd_nerkhapi,d,20230414,000000,508000,508000,508000,508000
price_usd_nerkhapi,d,20230415,000000,509500,509500,509500,509500
price_usd_nerkhapi,d,20230416,000000,512500,512500,512500,512500
price_usd_nerkhapi,d,20230417,000000,513500,513500,513500,513500
price_usd_nerkhapi,d,20230418,000000,517000,517000,517000,517000
price_usd_nerkhapi,d,20230419,000000,517000,517000,517000,517000
price_usd_nerkhapi,d,20230420,000000,514000,514000,514000,514000
price_usd_nerkhapi,d,20230421,000000,514000,514000,514000,514000
price_usd_nerkhapi,d,20230422,000000,516500,516500,516500,516500
price_usd_nerkhapi,d,20230423,000000,518000,518000,518000,518000
price_usd_nerkhapi,d,20230424,000000,517500,517500,517500,517500
price_usd_nerkhapi,d,20230425,000000,518000,518000,518000,518000
price_usd_nerkhapi,d,20230426,000000,524000,524000,524000,524000
price_usd_nerkhapi,d,20230427,000000,535500,535500,535500,535500
price_usd_nerkhapi,d,20230428,000000,535500,535500,535500,535500
price_usd_nerkhapi,d,20230429,000000,547000,547000,547000,547000
price_usd_nerkhapi,d,20230430,000000,548500,548500,548500,548500
price_usd_nerkhapi,d,20230501,000000,557000,557000,557000,557000
price_usd_nerkhapi,d,20230502,000000,544500,544500,544500,544500
